fg_old,color_old,,fg,color,
115,#627AAB,,115,#00B0F0,
125,#7F9BD5,,125,#0070C0,
241,#FFC09B,,241,#FFA200,
261,#CD9C7E,,261,#FFD000,
312,#2C461D,,312,#720703,
315,#395925,,315,#81171B,
321,#44692C,,321,#8B181D,
322,#548235,,322,#9F1922,
324,#5D933C,,324,#AD2E24,
325,#6BAD46,,325,#C32F27,
331,#7DBD66,,331,#C75146,
341,#89CB8D,,341,#C6634B,
351,#93DA99,,351,#C7553C,
361,#9CE7A3,,361,#E15F47,
415,#4C385E,,415,#34325D,
422,#553F6A,,422,#573D7F,
425,#5F4776,,425,#7151A9,
431,#73568E,,431,#916DD5,
441,#7E5F9C,,441,#AC8BEE,
451,#8B68AC,,451,#C7ADFF,
456,#B98AE5,,456,#DAC7FF,
461,#D7BCF0,,461,#E0D6FF,
521,#92231C,,521,#D2FFA3,
522,#AD281F,,522,#BFFF86,
523,#BF2C22,,523,#B3FF6A,
525,#D03025,,525,#ADF663,
526,#DA3A2F,,526,#A1E859,
531,#DD4B40,,531,#92D050,
532,#E36C63,,532,#70AD47,
533,#E77C74,,533,#308335,
535,#ED9D97,,535,#379B3F,
541,#FFAD92,,541,#3FB248,
546,#F3A58B,,546,#45C751,
561,#D9937C,,561,#48DB5A,
631,#B2B2B2,,631,#B2B2B2,
632,#848484,,632,#848484,
636,#6E6E6E,,636,#6E6E6E,
641,#535454,,641,#535454,
646,#383939,,646,#383939,